Date;Mkt.RF;SMB;HML;RMW;CMA;Mom;Afkast.RF
20070125;-1,15;-0,07;-0,1;-0,19;0,06;-0,44;-1,14898
20070126;-0,06;0,57;0,1;0,12;-0,06;0,06;-0,14279
20070129;0,02;0,6;0,23;-0,14;0,15;0,07;-0,13169
20070130;0,52;0,04;0,22;-0,19;-0,26;-0,25;0,555213
20070131;0,64;-0,41;0,03;0,17;-0,15;-0,13;0,637285
20070201;0,59;0,36;-0,24;0,19;-0,12;0,16;0,515377
20070202;0,15;0,12;0,27;0;-0,12;-0,24;0,14944
20070205;-0,12;-0,24;0,13;-0,13;0,03;0,15;-0,11666
20070206;0,1;0,29;0,19;-0,13;-0,04;0,2;0,0498
20070207;0,21;0,38;-0,01;-0,42;0,11;0,07;0,119503
20070208;-0,1;0,21;-0,21;-0,14;-0,19;-0,09;-0,13793
20070209;-0,76;-0,29;0,15;0,03;0,19;-0,25;-0,72772
20070212;-0,35;0,22;0,09;0,04;0,22;0;-0,34613
20070213;0,72;-0,08;0,33;0,03;-0,06;0,05;0,739748
20070214;0,73;-0,52;-0,17;-0,08;-0,06;-0,14;0,744405
20070215;0,11;0,09;-0,37;0,1;-0,05;-0,31;0,083759
20070216;0;0,33;0,07;-0,14;-0,39;-0,09;-0,10718
20070220;0,42;0,6;-0,18;-0,06;-0,12;0,27;0,264431
20070221;-0,09;0,31;-0,21;0,19;-0,05;-0,29;-0,16044
20070222;-0,06;0,36;-0,12;-0,04;-0,18;-0,48;-0,10576
20070223;-0,31;0,13;-0,26;0,07;-0,08;-0,18;-0,37636
20070226;-0,19;-0,13;0,09;0,17;0,04;0,02;-0,14541
20070227;-3,43;-0,17;0,03;0,02;0,21;-0,4;-3,49254
20070228;0,47;-0,5;0,35;-0,17;-0,12;0,5;0,536096
20070301;-0,25;-0,04;0,19;0,19;0,07;0,08;-0,27845
20070302;-1,24;-0,64;0,23;-0,18;0;-0,14;-1,15928
20070305;-1,11;-0,76;-0,28;-0,03;0,37;0,16;-0,95976
20070306;1,58;0,68;0;0,12;-0,18;0,47;1,530355
20070307;-0,21;-0,03;-0,01;0,23;-0,19;0,15;0,227523
20070308;0,68;-0,07;0,11;0,03;-0,03;0,58;0,693659
20070309;0,09;0,3;0,14;-0,02;0,06;0,08;0,049479
20070312;0,28;0,24;-0,12;-0,24;0,2;0,39;0,248313
20070313;-2,03;-0,32;-0,12;-0,24;0,05;-0,31;-2,05583
20070314;0,57;0,09;-0,09;0,37;-0,32;-0,03;0,65011
20070315;0,44;0,49;0,13;0,06;-0,03;0,14;0,349376
20070316;-0,42;-0,14;-0,17;-0,14;-0,02;0,02;-0,40183
20070319;1,08;-0,09;0,02;0,07;-0,04;0,51;1,070441
20070320;0,67;0,08;0,14;0,14;-0,11;0,17;-0,65235
20070321;1,64;-0,13;-0,1;0,07;-0,22;0,09;1,689081
20070322;-0,02;0,19;-0,31;0,16;-0,35;0,1;-0,05384
20070323;0,08;0,13;0,04;-0,03;-0,06;-0,07;0,090443
20070326;0,06;-0,07;-0,08;-0,04;-0,06;0,33;0,077789
20070327;-0,61;-0,17;-0,02;-0,14;-0,19;-0,06;-0,63743
20070328;-0,74;0,2;-0,04;-0,06;0,22;0,11;-0,81558
20070329;0,29;-0,13;0,17;0,33;0,03;0,17;0,354969
20070330;-0,07;0,27;-0,05;-0,36;0,2;0,1;-0,1364
20070402;0,22;0,05;-0,11;0,06;0;0,36;0,237702
20070403;0,93;0,01;-0,12;-0,15;-0,08;0,14;0,906012
20070404;0,09;-0,18;-0,25;0,07;0,22;0,15;0,089283
20070405;0,31;0,01;-0,08;-0,17;0,12;-0,01;0,282995
20070409;0,05;-0,2;0,07;0,01;0,16;0,14;0,036874
20070410;0,22;0,09;0,02;0,02;-0,13;-0,15;0,239662
20070411;-0,64;-0,07;0,12;-0,12;0,01;0,06;-0,67928
20070412;0,61;0,25;-0,19;-0,02;0,03;-0,29;0,598626
20070413;0,34;0,23;-0,08;-0,08;0,18;-0,08;0,326805
20070416;1,06;0,32;0,11;0,26;-0,19;-0,45;1,053128
20070417;0,09;-0,48;-0,12;0,06;0,01;0,07;0,182975
